,request_count,weighted_load,unique_users,static_ratio,total_bytes,is_outage,is_imputed
1995-07-01 00:00:00,810,722.5,115,0.7876543209876543,14034888.0,0,0
1995-07-01 00:15:00,944,863.7,133,0.7680084745762712,15264670.0,0,0
1995-07-01 00:30:00,1006,922.5,130,0.8041749502982107,20560996.0,0,0
1995-07-01 00:45:00,798,747.2,129,0.7719298245614035,18996139.0,0,0
1995-07-01 01:00:00,746,663.3,117,0.8083109919571045,13336170.0,0,0
1995-07-01 01:15:00,679,624.6,108,0.7687776141384389,15283995.0,0,0
1995-07-01 01:30:00,827,784.5,117,0.7762998790810157,19246363.0,0,0
1995-07-01 01:45:00,736,676.7,119,0.7350543478260869,15346331.0,0,0
1995-07-01 02:00:00,697,636.0,105,0.7618364418938307,11586931.0,0,0
1995-07-01 02:15:00,538,502.7,96,0.7788104089219331,10920261.0,0,0
1995-07-01 02:30:00,534,497.7,88,0.8445692883895131,10473061.0,0,0
1995-07-01 02:45:00,499,443.2,73,0.7995991983967936,11252404.0,0,0
1995-07-01 03:00:00,501,460.5,73,0.7524950099800399,8346509.0,0,0
1995-07-01 03:15:00,420,395.3,62,0.8047619047619048,9018994.0,0,0
1995-07-01 03:30:00,398,353.8,65,0.8366834170854272,7657919.0,0,0
1995-07-01 03:45:00,400,377.4,68,0.8575,7868312.0,0,0
1995-07-01 04:00:00,408,373.9,67,0.8480392156862745,7923834.0,0,0
1995-07-01 04:15:00,311,290.0,57,0.8135048231511254,6237174.0,0,0
1995-07-01 04:30:00,405,382.1,55,0.837037037037037,7542078.0,0,0
1995-07-01 04:45:00,350,322.3,52,0.7942857142857143,5712945.0,0,0
1995-07-01 05:00:00,282,246.0,42,0.8404255319148937,5852988.0,0,0
1995-07-01 05:15:00,331,295.5,51,0.8157099697885196,5863791.0,0,0
1995-07-01 05:30:00,336,305.5,49,0.875,5364243.0,0,0
1995-07-01 05:45:00,392,349.1,61,0.8010204081632653,8597256.0,0,0
1995-07-01 06:00:00,373,340.2,57,0.8445040214477212,7155138.0,0,0
1995-07-01 06:15:00,396,352.9,55,0.7853535353535354,8370354.0,0,0
1995-07-01 06:30:00,417,367.1,64,0.7985611510791367,7332928.0,0,0
1995-07-01 06:45:00,342,299.7,53,0.7865497076023392,7347832.0,0,0
1995-07-01 07:00:00,298,249.5,42,0.8657718120805369,4700875.0,0,0
1995-07-01 07:15:00,325,289.0,51,0.7876923076923077,7167386.0,0,0
1995-07-01 07:30:00,436,381.1,57,0.8119266055045872,6927728.0,0,0
1995-07-01 07:45:00,495,450.0,65,0.8181818181818182,8711452.0,0,0
1995-07-01 08:00:00,428,388.0,64,0.7780373831775701,8629645.0,0,0
1995-07-01 08:15:00,602,528.3,86,0.813953488372093,10216994.0,0,0
1995-07-01 08:30:00,445,394.7,74,0.8179775280898877,9005331.0,0,0
1995-07-01 08:45:00,431,390.1,59,0.8004640371229699,13196168.0,0,0
1995-07-01 09:00:00,354,323.4,54,0.827683615819209,8056050.0,0,0
1995-07-01 09:15:00,556,510.2,85,0.8381294964028777,11254987.0,0,0
1995-07-01 09:30:00,569,527.2,94,0.8330404217926186,11535425.0,0,0
1995-07-01 09:45:00,614,538.4,88,0.8338762214983714,11639311.0,0,0
1995-07-01 10:00:00,722,624.4,100,0.8337950138504155,12539788.0,0,0
1995-07-01 10:15:00,656,603.9,104,0.8216463414634146,10386313.0,0,0
1995-07-01 10:30:00,786,711.2,111,0.8104325699745547,15318783.0,0,0
1995-07-01 10:45:00,882,753.9,116,0.8616780045351474,16787006.0,0,0
1995-07-01 11:00:00,983,828.0,126,0.8240081383519837,16620416.0,0,0
1995-07-01 11:15:00,938,863.6,120,0.8219616204690832,17273508.0,0,0
1995-07-01 11:30:00,709,663.4,105,0.7870239774330042,15260409.0,0,0
1995-07-01 11:45:00,789,753.3,104,0.8136882129277566,18083304.0,0,0
1995-07-01 12:00:00,793,745.3,108,0.8221941992433796,19028842.0,0,0
1995-07-01 12:15:00,974,913.5,112,0.7885010266940452,20325327.0,0,0
1995-07-01 12:30:00,209,191.9,44,0.7368421052631579,5134626.0,0,0
1995-07-01 12:45:00,792,744.1,91,0.7904040404040404,12651289.0,0,0
1995-07-01 13:00:00,786,718.4,114,0.8180661577608143,13817230.0,0,0
1995-07-01 13:15:00,829,735.1,97,0.7623642943305187,15312117.0,0,0
1995-07-01 13:30:00,566,511.7,93,0.8003533568904594,11437219.0,0,0
1995-07-01 13:45:00,905,806.0,109,0.7734806629834254,16697651.0,0,0
1995-07-01 14:00:00,744,692.8,109,0.7728494623655914,15586426.0,0,0
1995-07-01 14:15:00,705,639.9,100,0.8326241134751773,13176773.0,0,0
1995-07-01 14:30:00,779,704.7,106,0.7881899871630296,14882459.0,0,0
1995-07-01 14:45:00,905,821.6,118,0.8154696132596685,14963913.0,0,0
1995-07-01 15:00:00,700,633.6,104,0.8128571428571428,15084996.0,0,0
1995-07-01 15:15:00,792,732.9,121,0.8143939393939394,16959310.0,0,0
1995-07-01 15:30:00,812,745.0,123,0.7857142857142857,19262196.0,0,0
1995-07-01 15:45:00,953,879.5,120,0.7985309548793285,18079778.0,0,0
1995-07-01 16:00:00,680,644.0,119,0.8588235294117647,15297355.0,0,0
1995-07-01 16:15:00,686,630.7,101,0.826530612244898,12089072.0,0,0
1995-07-01 16:30:00,869,814.2,120,0.806674338319908,19458874.0,0,0
1995-07-01 16:45:00,952,881.9,115,0.8476890756302521,20131145.0,0,0
1995-07-01 17:00:00,934,853.5,134,0.7837259100642399,19249552.0,0,0
1995-07-01 17:15:00,974,890.8,123,0.7926078028747433,15683552.0,0,0
1995-07-01 17:30:00,1029,953.5,134,0.8377065111758989,21736664.0,0,0
1995-07-01 17:45:00,730,697.7,111,0.8123287671232877,16230382.0,0,0
1995-07-01 18:00:00,876,794.8,115,0.821917808219178,15450797.0,0,0
1995-07-01 18:15:00,860,774.3,107,0.763953488372093,15878007.0,0,0
1995-07-01 18:30:00,865,807.6,115,0.8069364161849711,16703510.0,0,0
1995-07-01 18:45:00,591,554.6,88,0.7461928934010152,11587215.0,0,0
1995-07-01 19:00:00,651,577.4,98,0.8187403993855606,10569428.0,0,0
1995-07-01 19:15:00,859,788.5,100,0.8032596041909197,15541466.0,0,0
1995-07-01 19:30:00,634,590.0,94,0.777602523659306,16342872.0,0,0
1995-07-01 19:45:00,681,633.2,98,0.7856093979441997,14449021.0,0,0
1995-07-01 20:00:00,690,636.5,96,0.8144927536231884,11119698.0,0,0
1995-07-01 20:15:00,769,710.7,107,0.8153446033810143,15565260.0,0,0
1995-07-01 20:30:00,704,645.2,90,0.7613636363636364,15883854.0,0,0
1995-07-01 20:45:00,779,737.7,111,0.7625160462130937,16576881.0,0,0
1995-07-01 21:00:00,915,857.9,105,0.8087431693989071,15973524.0,0,0
1995-07-01 21:15:00,931,845.9,123,0.7959183673469388,16306223.0,0,0
1995-07-01 21:30:00,837,759.0,130,0.7491039426523297,18013524.0,0,0
1995-07-01 21:45:00,803,718.4,112,0.7671232876712328,17601598.0,0,0
1995-07-01 22:00:00,874,801.3,119,0.8100686498855835,14154523.0,0,0
1995-07-01 22:15:00,821,740.2,111,0.7831912302070646,14479527.0,0,0
1995-07-01 22:30:00,754,673.2,113,0.8342175066312998,13966721.0,0,0
1995-07-01 22:45:00,811,759.1,114,0.7706535141800247,15132255.0,0,0
1995-07-01 23:00:00,684,628.8,114,0.8099415204678363,13859474.0,0,0
1995-07-01 23:15:00,900,818.2,125,0.7711111111111111,16850866.0,0,0
1995-07-01 23:30:00,785,743.4,118,0.7477707006369426,13474558.0,0,0
1995-07-01 23:45:00,483,434.1,103,0.7515527950310559,7642189.0,0,0
1995-07-02 00:00:00,617,541.6,93,0.7439222042139384,11464586.0,0,0
1995-07-02 00:15:00,749,703.7,106,0.7957276368491322,13076441.0,0,0
1995-07-02 00:30:00,799,745.4,103,0.7959949937421777,14616892.0,0,0
1995-07-02 00:45:00,692,638.7,106,0.7760115606936416,13594854.0,0,0
1995-07-02 01:00:00,532,504.2,91,0.7631578947368421,10388956.0,0,0
1995-07-02 01:15:00,701,662.9,103,0.760342368045649,13707487.0,0,0
1995-07-02 01:30:00,627,573.6,96,0.8070175438596491,14830926.0,0,0
1995-07-02 01:45:00,704,668.8,94,0.7386363636363636,12646898.0,0,0
1995-07-02 02:00:00,646,604.8,72,0.6764705882352942,10741105.0,0,0
1995-07-02 02:15:00,585,558.0,78,0.8,10117154.0,0,0
1995-07-02 02:30:00,438,412.9,70,0.773972602739726,7785171.0,0,0
1995-07-02 02:45:00,387,360.1,61,0.8165374677002584,8169131.0,0,0
1995-07-02 03:00:00,374,340.3,55,0.767379679144385,7002841.0,0,0
1995-07-02 03:15:00,302,284.0,52,0.6920529801324503,6291572.0,0,0
1995-07-02 03:30:00,445,403.3,56,0.797752808988764,9116064.0,0,0
1995-07-02 03:45:00,384,346.8,51,0.7916666666666666,8268419.0,0,0
1995-07-02 04:00:00,324,280.8,49,0.8364197530864198,7115111.0,0,0
1995-07-02 04:15:00,317,286.5,44,0.7381703470031545,6165484.0,0,0
1995-07-02 04:30:00,365,303.8,51,0.8657534246575342,5956013.0,0,0
1995-07-02 04:45:00,280,249.4,41,0.7785714285714286,5176366.0,0,0
1995-07-02 05:00:00,292,275.9,42,0.839041095890411,5469686.0,0,0
1995-07-02 05:15:00,379,350.7,51,0.7810026385224275,5803665.0,0,0
1995-07-02 05:30:00,299,271.1,52,0.7892976588628763,6351654.0,0,0
1995-07-02 05:45:00,316,287.2,46,0.7468354430379747,8634848.0,0,0
1995-07-02 06:00:00,368,333.0,51,0.7635869565217391,8970153.0,0,0
1995-07-02 06:15:00,342,306.9,49,0.7982456140350878,7425160.0,0,0
1995-07-02 06:30:00,324,317.1,53,0.7685185185185185,7611610.0,0,0
1995-07-02 06:45:00,239,215.7,39,0.7907949790794979,5790279.0,0,0
1995-07-02 07:00:00,367,349.6,52,0.773841961852861,7568152.0,0,0
1995-07-02 07:15:00,299,265.7,49,0.7759197324414716,4782457.0,0,0
1995-07-02 07:30:00,228,217.3,43,0.7280701754385965,6051383.0,0,0
1995-07-02 07:45:00,334,303.1,45,0.8353293413173652,5293278.0,0,0
1995-07-02 08:00:00,267,238.7,50,0.8576779026217228,6144739.0,0,0
1995-07-02 08:15:00,408,395.4,52,0.8161764705882353,8117629.0,0,0
1995-07-02 08:30:00,352,309.7,62,0.8039772727272727,8476097.0,0,0
1995-07-02 08:45:00,405,367.5,61,0.7851851851851852,8930742.0,0,0
1995-07-02 09:00:00,418,375.0,63,0.7799043062200957,11365676.0,0,0
1995-07-02 09:15:00,391,365.4,66,0.7416879795396419,9744784.0,0,0
1995-07-02 09:30:00,556,525.6,83,0.7985611510791367,10395496.0,0,0
1995-07-02 09:45:00,530,490.2,75,0.7735849056603774,10087993.0,0,0
1995-07-02 10:00:00,438,395.9,73,0.8378995433789954,9547420.0,0,0
1995-07-02 10:15:00,561,505.2,92,0.7807486631016043,11984289.0,0,0
1995-07-02 10:30:00,514,491.1,78,0.7782101167315175,9568142.0,0,0
1995-07-02 10:45:00,599,520.8,88,0.8013355592654424,10454740.0,0,0
1995-07-02 11:00:00,525,495.3,86,0.7352380952380952,9358929.0,0,0
1995-07-02 11:15:00,557,504.9,86,0.7953321364452424,11473355.0,0,0
1995-07-02 11:30:00,591,522.3,89,0.7377326565143824,11565128.0,0,0
1995-07-02 11:45:00,777,736.7,117,0.8326898326898327,14768377.0,0,0
1995-07-02 12:00:00,891,806.0,111,0.8058361391694725,16126592.0,0,0
1995-07-02 12:15:00,605,524.3,105,0.8165289256198347,16518013.0,0,0
1995-07-02 12:30:00,823,755.7,121,0.7982989064398542,13743414.0,0,0
1995-07-02 12:45:00,787,718.3,107,0.7789072426937739,17960578.0,0,0
1995-07-02 13:00:00,565,517.8,92,0.7946902654867256,12212728.0,0,0
1995-07-02 13:15:00,805,735.7,100,0.8012422360248447,15772913.0,0,0
1995-07-02 13:30:00,711,652.7,87,0.7538677918424754,13158058.0,0,0
1995-07-02 13:45:00,833,753.7,95,0.8007202881152461,14542415.0,0,0
1995-07-02 14:00:00,808,743.7,102,0.7970297029702971,15641267.0,0,0
1995-07-02 14:15:00,700,642.4,104,0.7771428571428571,16900653.0,0,0
